student_id,school,sex,age,address_type,family_size,parent_status,mother_education,father_education,mother_job,father_job,school_choice_reason,guardian,travel_time,study_time,class_failures,school_support,family_support,extra_paid_classes,activities,nursery_school,higher_ed,internet_access,romantic_relationship,family_relationship,free_time,social,weekday_alcohol,weekend_alcohol,health,absences,grade_1,grade_2,final_grade
1,GP,F,18.0,Urban,1.0,Apart,4.0,4.0,at_home,teacher,course,mother,1.0,1.0,0.0,yes,no,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,5.0,6.0,6.0
2,GP,F,17.0,Urban,1.0,Living together,1.0,1.0,at_home,other,course,father,0.0,1.0,0.0,no,yes,no,no,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,6.0
3,GP,F,15.0,Urban,0.0,Living together,1.0,1.0,at_home,other,other,mother,0.0,1.0,3.0,yes,no,yes,no,yes,yes,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,7.0,8.0,10.0
4,GP,F,15.0,Urban,1.0,Living together,4.0,2.0,health,services,home,mother,0.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,2.0,15.0,14.0,15.0
5,GP,F,16.0,Urban,1.0,Living together,3.0,3.0,other,other,home,father,0.0,1.0,0.0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,6.0,10.0,10.0
6,GP,M,16.0,Urban,0.0,Living together,4.0,3.0,services,other,reputation,mother,0.0,1.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15.0,15.0,15.0
7,GP,M,16.0,Urban,0.0,Living together,2.0,2.0,other,other,home,mother,0.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12.0,12.0,11.0
8,GP,F,17.0,Urban,1.0,Apart,4.0,4.0,other,teacher,home,mother,1.0,1.0,0.0,yes,yes,no,no,yes,yes,no,no,4.0,1.0,4.0,1.0,1.0,1.0,6.0,6.0,5.0,6.0
9,GP,M,15.0,Urban,0.0,Apart,3.0,2.0,services,other,home,mother,0.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,16.0,18.0,19.0
10,GP,M,15.0,Urban,1.0,Living together,3.0,4.0,other,other,home,mother,0.0,1.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,14.0,15.0,15.0
11,GP,F,15.0,Urban,1.0,Living together,4.0,4.0,teacher,health,reputation,mother,0.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,10.0,8.0,9.0
12,GP,F,15.0,Urban,1.0,Living together,2.0,1.0,services,other,reputation,father,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,4.0,10.0,12.0,12.0
13,GP,M,15.0,Urban,0.0,Living together,4.0,4.0,health,services,course,father,0.0,0.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,3.0,5.0,2.0,14.0,14.0,14.0
14,GP,M,15.0,Urban,1.0,Living together,4.0,3.0,teacher,other,course,mother,1.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,3.0,2.0,10.0,10.0,11.0
15,GP,M,15.0,Urban,1.0,Apart,2.0,2.0,other,other,home,other,0.0,2.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,3.0,0.0,14.0,16.0,16.0
16,GP,F,16.0,Urban,1.0,Living together,4.0,4.0,health,other,home,mother,0.0,0.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,2.0,2.0,4.0,14.0,14.0,14.0
17,GP,F,16.0,Urban,1.0,Living together,4.0,4.0,services,services,reputation,mother,0.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,3.0,2.0,3.0,1.0,2.0,2.0,6.0,13.0,14.0,14.0
18,GP,F,16.0,Urban,1.0,Living together,3.0,3.0,other,other,reputation,mother,2.0,1.0,0.0,yes,yes,no,yes,yes,yes,no,no,5.0,3.0,2.0,1.0,1.0,4.0,4.0,8.0,10.0,10.0
19,GP,M,17.0,Urban,1.0,Living together,3.0,2.0,services,services,course,mother,0.0,0.0,3.0,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,5.0,2.0,4.0,5.0,16.0,6.0,5.0,5.0
20,GP,M,16.0,Urban,0.0,Living together,4.0,3.0,health,other,home,father,0.0,0.0,0.0,no,no,yes,yes,yes,yes,yes,no,3.0,1.0,3.0,1.0,3.0,5.0,4.0,8.0,10.0,10.0
21,GP,M,15.0,Urban,1.0,Living together,4.0,3.0,teacher,other,reputation,mother,0.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,1.0,1.0,1.0,1.0,0.0,13.0,14.0,15.0
22,GP,M,15.0,Urban,1.0,Living together,4.0,4.0,health,health,other,father,0.0,0.0,0.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,0.0,12.0,15.0,15.0
23,GP,M,16.0,Urban,0.0,Living together,4.0,2.0,teacher,other,course,mother,0.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,5.0,1.0,1.0,3.0,5.0,2.0,15.0,15.0,16.0
24,GP,M,16.0,Urban,0.0,Living together,2.0,2.0,other,other,reputation,mother,1.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,2.0,4.0,5.0,0.0,13.0,13.0,12.0
25,GP,F,15.0,Rural,1.0,Living together,2.0,4.0,services,health,course,mother,0.0,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,10.0,9.0,8.0
26,GP,F,16.0,Urban,1.0,Living together,2.0,2.0,services,services,home,mother,0.0,0.0,2.0,no,yes,yes,no,no,yes,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,14.0,6.0,9.0,8.0
27,GP,M,15.0,Urban,1.0,Living together,2.0,2.0,other,other,home,mother,0.0,0.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,2.0,5.0,2.0,12.0,12.0,11.0
28,GP,M,15.0,Urban,1.0,Living together,4.0,2.0,health,services,other,mother,0.0,0.0,0.0,no,no,yes,no,yes,yes,yes,no,2.0,2.0,4.0,2.0,4.0,1.0,4.0,15.0,16.0,15.0
29,GP,M,16.0,Urban,0.0,Apart,3.0,4.0,services,other,home,mother,0.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,4.0,11.0,11.0,11.0
30,GP,M,16.0,Urban,1.0,Living together,4.0,4.0,teacher,teacher,home,mother,0.0,1.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4.0,5.0,5.0,5.0,5.0,16.0,10.0,12.0,11.0
31,GP,M,15.0,Urban,1.0,Living together,4.0,4.0,health,services,home,mother,0.0,1.0,0.0,no,yes,yes,no,no,yes,yes,no,5.0,4.0,2.0,3.0,4.0,5.0,0.0,9.0,11.0,12.0
32,GP,M,15.0,Urban,1.0,Living together,4.0,4.0,services,services,reputation,mother,1.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,1.0,1.0,1.0,5.0,0.0,17.0,16.0,17.0
33,GP,M,15.0,Rural,1.0,Living together,4.0,3.0,teacher,at_home,course,mother,0.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,5.0,0.0,17.0,16.0,16.0
34,GP,M,15.0,Urban,0.0,Living together,3.0,3.0,other,other,course,mother,0.0,1.0,0.0,no,no,no,yes,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,2.0,0.0,8.0,10.0,12.0
35,GP,M,16.0,Urban,1.0,Living together,3.0,2.0,other,other,home,mother,0.0,0.0,0.0,no,yes,yes,no,no,yes,yes,no,5.0,4.0,3.0,1.0,1.0,5.0,0.0,12.0,14.0,15.0
36,GP,F,15.0,Urban,1.0,Living together,2.0,3.0,other,other,other,father,1.0,0.0,0.0,no,yes,no,yes,yes,yes,no,no,3.0,5.0,1.0,1.0,1.0,5.0,0.0,8.0,7.0,6.0
37,GP,M,15.0,Urban,0.0,Living together,4.0,3.0,teacher,services,home,mother,0.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,1.0,1.0,4.0,2.0,15.0,16.0,18.0
38,GP,M,16.0,Rural,1.0,Apart,4.0,4.0,other,teacher,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,yes,2.0,4.0,3.0,1.0,1.0,5.0,7.0,15.0,16.0,15.0
39,GP,F,15.0,Rural,1.0,Living together,3.0,4.0,services,health,course,mother,0.0,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,12.0,12.0,11.0
40,GP,F,15.0,Rural,1.0,Living together,2.0,2.0,at_home,other,reputation,mother,0.0,0.0,0.0,yes,yes,yes,yes,yes,yes,no,no,4.0,3.0,1.0,1.0,1.0,2.0,8.0,14.0,13.0,13.0
41,GP,F,16.0,Urban,0.0,Living together,2.0,2.0,other,other,home,mother,1.0,1.0,1.0,no,yes,no,yes,no,yes,yes,yes,3.0,3.0,3.0,1.0,2.0,3.0,25.0,7.0,10.0,11.0
42,GP,M,15.0,Urban,0.0,Living together,4.0,4.0,teacher,other,home,other,0.0,0.0,0.0,no,yes,no,no,no,yes,yes,yes,5.0,4.0,3.0,2.0,4.0,5.0,8.0,12.0,12.0,12.0
43,GP,M,15.0,Urban,1.0,Living together,4.0,4.0,services,teacher,course,father,0.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,19.0,18.0,18.0
44,GP,M,15.0,Urban,1.0,Living together,2.0,2.0,services,services,course,father,0.0,0.0,0.0,yes,yes,no,no,yes,yes,yes,no,5.0,4.0,1.0,1.0,1.0,1.0,0.0,8.0,8.0,11.0
45,GP,F,16.0,Urban,0.0,Living together,2.0,2.0,other,at_home,course,father,1.0,1.0,1.0,yes,no,no,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,14.0,10.0,10.0,9.0
46,GP,F,15.0,Urban,0.0,Apart,4.0,3.0,other,other,course,mother,0.0,1.0,0.0,yes,yes,yes,yes,yes,yes,yes,yes,5.0,2.0,2.0,1.0,1.0,5.0,8.0,8.0,8.0,6.0
47,GP,F,16.0,Urban,0.0,Apart,3.0,3.0,other,services,home,mother,0.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,2.0,3.0,5.0,1.0,4.0,3.0,12.0,11.0,12.0,11.0
48,GP,M,16.0,Urban,1.0,Living together,4.0,3.0,health,services,reputation,mother,0.0,3.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,2.0,4.0,19.0,19.0,20.0
49,GP,M,15.0,Urban,1.0,Living together,4.0,2.0,teacher,other,home,mother,0.0,1.0,0.0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,3.0,2.0,2.0,5.0,2.0,15.0,15.0,14.0
50,GP,F,15.0,Urban,1.0,Living together,4.0,4.0,services,teacher,other,father,0.0,1.0,1.0,yes,yes,no,yes,no,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,2.0,7.0,7.0,7.0
51,GP,F,16.0,Urban,0.0,Living together,2.0,2.0,services,services,course,mother,2.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,3.0,2.0,3.0,4.0,2.0,12.0,13.0,13.0
52,GP,F,15.0,Urban,0.0,Living together,4.0,2.0,health,other,other,mother,0.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,11.0,13.0,13.0
53,GP,M,15.0,Urban,0.0,Apart,4.0,2.0,health,health,other,father,1.0,0.0,1.0,no,no,no,no,yes,yes,no,no,5.0,5.0,5.0,3.0,4.0,5.0,6.0,11.0,11.0,10.0
54,GP,F,15.0,Urban,1.0,Living together,4.0,4.0,services,services,course,mother,0.0,0.0,0.0,yes,yes,yes,no,yes,yes,yes,no,3.0,3.0,4.0,2.0,3.0,5.0,0.0,8.0,10.0,11.0
55,GP,F,15.0,Urban,0.0,Apart,3.0,3.0,other,other,other,mother,0.0,0.0,0.0,no,no,yes,no,yes,yes,yes,no,5.0,3.0,4.0,4.0,4.0,1.0,6.0,10.0,13.0,13.0
56,GP,F,16.0,Urban,1.0,Apart,2.0,1.0,other,other,other,mother,0.0,1.0,0.0,no,no,yes,yes,yes,yes,yes,yes,5.0,3.0,4.0,1.0,1.0,2.0,8.0,8.0,9.0,10.0
57,GP,F,15.0,Urban,1.0,Apart,4.0,3.0,services,services,reputation,mother,0.0,1.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,1.0,0.0,14.0,15.0,15.0
58,GP,M,15.0,Urban,1.0,Living together,4.0,4.0,teacher,health,reputation,mother,0.0,1.0,0.0,no,yes,no,yes,yes,yes,no,no,3.0,2.0,2.0,1.0,1.0,5.0,4.0,14.0,15.0,15.0
59,GP,M,15.0,Urban,0.0,Living together,1.0,2.0,other,at_home,home,father,0.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,9.0,10.0,9.0
60,GP,F,16.0,Urban,1.0,Living together,4.0,2.0,services,other,course,mother,0.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,2.0,3.0,1.0,1.0,5.0,2.0,15.0,16.0,16.0
61,GP,F,16.0,Rural,1.0,Living together,4.0,4.0,health,teacher,other,mother,0.0,1.0,0.0,no,yes,no,yes,yes,yes,no,no,2.0,4.0,4.0,2.0,3.0,4.0,6.0,10.0,11.0,11.0
62,GP,F,16.0,Urban,1.0,Living together,1.0,1.0,services,services,course,father,3.0,0.0,0.0,yes,yes,no,yes,no,yes,yes,yes,5.0,5.0,5.0,5.0,5.0,5.0,6.0,10.0,8.0,11.0
63,GP,F,16.0,Urban,0.0,Living together,1.0,2.0,other,services,reputation,father,0.0,1.0,0.0,yes,no,no,yes,yes,yes,yes,no,4.0,4.0,3.0,1.0,1.0,1.0,4.0,8.0,10.0,9.0
64,GP,F,16.0,Urban,1.0,Living together,4.0,3.0,teacher,health,home,mother,0.0,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,3.0,4.0,4.0,2.0,4.0,4.0,2.0,10.0,9.0,9.0
65,GP,F,15.0,Urban,0.0,Living together,4.0,3.0,services,services,reputation,father,0.0,1.0,0.0,yes,no,no,yes,yes,yes,yes,yes,4.0,4.0,4.0,2.0,4.0,2.0,0.0,10.0,10.0,10.0
66,GP,F,16.0,Urban,0.0,Living together,4.0,3.0,teacher,services,course,mother,2.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,1.0,2.0,16.0,15.0,15.0
67,GP,M,15.0,Urban,1.0,Apart,4.0,4.0,other,services,reputation,mother,0.0,3.0,0.0,no,yes,no,yes,no,yes,yes,yes,1.0,3.0,3.0,5.0,5.0,3.0,4.0,13.0,13.0,12.0
68,GP,F,16.0,Urban,1.0,Living together,3.0,1.0,services,other,course,mother,0.0,3.0,0.0,yes,yes,yes,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,5.0,4.0,7.0,7.0,6.0
69,GP,F,15.0,Rural,0.0,Living together,2.0,2.0,health,services,reputation,mother,1.0,1.0,0.0,yes,yes,yes,no,yes,yes,yes,no,4.0,1.0,3.0,1.0,3.0,4.0,2.0,8.0,9.0,8.0
70,GP,F,15.0,Rural,0.0,Living together,3.0,1.0,other,other,reputation,father,1.0,3.0,0.0,no,yes,no,no,no,yes,yes,no,4.0,4.0,2.0,2.0,3.0,3.0,12.0,16.0,16.0,16.0
71,GP,M,16.0,Urban,1.0,Living together,3.0,1.0,other,other,reputation,father,1.0,3.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,0.0,13.0,15.0,15.0
72,GP,M,15.0,Urban,1.0,Living together,4.0,2.0,other,other,course,mother,0.0,3.0,0.0,no,no,no,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,1.0,3.0,0.0,10.0,10.0,10.0
73,GP,F,15.0,Rural,1.0,Living together,1.0,1.0,other,other,reputation,mother,0.0,1.0,2.0,yes,yes,no,no,no,yes,yes,yes,3.0,3.0,4.0,2.0,4.0,5.0,2.0,8.0,6.0,5.0
74,GP,M,16.0,Urban,1.0,Living together,3.0,1.0,other,other,reputation,mother,0.0,0.0,0.0,no,no,no,yes,yes,yes,no,no,5.0,3.0,2.0,2.0,2.0,5.0,2.0,12.0,12.0,14.0
75,GP,F,16.0,Urban,1.0,Living together,3.0,3.0,other,services,home,mother,0.0,1.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,4.0,5.0,54.0,11.0,12.0,11.0
76,GP,M,15.0,Urban,1.0,Living together,4.0,3.0,teacher,other,home,mother,0.0,1.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,3.0,5.0,6.0,9.0,9.0,10.0
77,GP,M,15.0,Urban,1.0,Living together,4.0,0.0,teacher,other,course,mother,1.0,3.0,0.0,no,no,no,yes,yes,yes,yes,no,3.0,4.0,3.0,1.0,1.0,1.0,8.0,11.0,11.0,10.0
78,GP,F,16.0,Urban,1.0,Living together,2.0,2.0,other,other,reputation,mother,0.0,3.0,0.0,no,no,yes,no,yes,yes,yes,yes,5.0,2.0,3.0,1.0,3.0,3.0,0.0,11.0,11.0,11.0
79,GP,M,17.0,Urban,1.0,Living together,2.0,1.0,other,other,home,mother,1.0,0.0,3.0,yes,yes,no,yes,yes,no,yes,no,4.0,5.0,1.0,1.0,1.0,3.0,2.0,8.0,8.0,10.0
80,GP,F,16.0,Urban,1.0,Living together,3.0,4.0,at_home,other,course,mother,0.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,2.0,4.0,3.0,1.0,2.0,3.0,12.0,5.0,5.0,5.0
81,GP,M,15.0,Urban,1.0,Living together,2.0,3.0,other,services,course,father,0.0,0.0,0.0,yes,yes,yes,yes,no,yes,yes,yes,3.0,2.0,2.0,1.0,3.0,3.0,2.0,10.0,12.0,12.0
82,GP,M,15.0,Urban,1.0,Living together,2.0,3.0,other,other,home,mother,0.0,2.0,0.0,yes,no,yes,no,no,yes,yes,no,5.0,3.0,2.0,1.0,2.0,5.0,4.0,11.0,10.0,11.0
83,GP,F,15.0,Urban,0.0,Living together,3.0,2.0,services,other,reputation,mother,0.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,5.0,10.0,7.0,6.0,6.0
84,GP,M,15.0,Urban,0.0,Living together,2.0,2.0,services,services,home,mother,1.0,1.0,0.0,no,no,yes,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,3.0,4.0,4.0,15.0,15.0,15.0
85,GP,F,15.0,Urban,1.0,Living together,1.0,1.0,other,other,home,father,0.0,1.0,0.0,no,yes,no,yes,no,yes,yes,no,4.0,3.0,2.0,2.0,3.0,4.0,2.0,9.0,10.0,10.0
86,GP,F,15.0,Urban,1.0,Living together,4.0,4.0,services,services,reputation,father,1.0,1.0,2.0,no,no,yes,no,yes,yes,yes,yes,4.0,4.0,4.0,2.0,3.0,5.0,6.0,7.0,9.0,8.0
87,GP,F,16.0,Urban,0.0,Living together,2.0,2.0,at_home,other,course,mother,0.0,1.0,0.0,no,yes,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,2.0,2.0,4.0,8.0,7.0,6.0
88,GP,F,15.0,Urban,1.0,Living together,4.0,2.0,other,other,reputation,mother,0.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,3.0,1.0,4.0,13.0,14.0,14.0
89,GP,M,16.0,Urban,1.0,Living together,2.0,2.0,services,other,reputation,father,1.0,1.0,1.0,no,no,yes,yes,no,yes,yes,no,4.0,4.0,2.0,1.0,1.0,3.0,12.0,11.0,10.0,10.0
90,GP,M,16.0,Urban,0.0,Apart,4.0,4.0,teacher,health,reputation,mother,0.0,1.0,0.0,no,yes,no,no,yes,yes,no,no,4.0,1.0,3.0,3.0,5.0,5.0,18.0,8.0,6.0,7.0
91,GP,F,16.0,Urban,1.0,Living together,3.0,3.0,other,other,home,mother,0.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,yes,4.0,3.0,3.0,1.0,3.0,4.0,0.0,7.0,7.0,8.0
92,GP,F,15.0,Urban,1.0,Living together,4.0,3.0,services,other,reputation,mother,0.0,0.0,0.0,no,no,yes,yes,yes,yes,yes,no,4.0,5.0,5.0,1.0,3.0,1.0,4.0,16.0,17.0,18.0
93,GP,F,16.0,Urban,0.0,Living together,3.0,1.0,other,other,home,father,0.0,1.0,0.0,yes,yes,no,no,yes,yes,no,no,3.0,3.0,3.0,2.0,3.0,2.0,4.0,7.0,6.0,6.0
94,GP,F,16.0,Urban,1.0,Living together,4.0,2.0,teacher,services,home,mother,1.0,1.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,1.0,0.0,11.0,10.0,10.0
95,GP,M,15.0,Urban,0.0,Living together,2.0,2.0,services,health,reputation,mother,0.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,4.0,1.0,1.0,4.0,6.0,11.0,13.0,14.0
96,GP,F,15.0,Rural,1.0,Living together,1.0,1.0,at_home,other,home,mother,1.0,3.0,1.0,yes,yes,yes,yes,yes,yes,yes,no,3.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,10.0,10.0
97,GP,M,16.0,Rural,1.0,Living together,4.0,3.0,services,other,reputation,mother,1.0,0.0,0.0,yes,yes,no,yes,no,yes,yes,no,3.0,3.0,3.0,1.0,1.0,4.0,2.0,11.0,15.0,15.0
